What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Bus,30,Every weekday (M-F),Always,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Often,Sometimes,Always,Student,Female,29,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,10,Every weekday (M-F),Always,Rarely,Sometimes,Rarely,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Sometimes,Often,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,90,"Every day, including weekends",Sometimes,Sometimes,Often,Rarely,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Always,Student,Male,19,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,15,Every weekday (M-F),Always,Rarely,Always,Rarely,Rarely,1,Safety,0,0,Often,Never,Rarely,Rarely,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Sometimes,Rarely,Often,Student,Female,,Rent,Google Maps,Yes,2,0,0,No,,Other non-US citizen status,
Drive,20,1-2 days,Sometimes,Rarely,Always,Rarely,Rarely,0,,,,,,,,,4,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Often,Neither agree nor disagree,Somewhat agree,Strongly agree,0,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Rarely,Always,Always,Student,Female,23,"Neither, I live with others who pay",Waze,No,,,,Yes,16,US Citizen,Yes
Walk,20,3-4 days,Sometimes,Sometimes,Often,Rarely,Never,1,I don't drive,0,0,Often,Never,Rarely,Rarely,Rarely,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Light rail,15,Every weekday (M-F),Often,Sometimes,Often,Often,Never,0,,,,,,,,,1,Often,Rarely,Often,Sometimes,Rarely,Rarely,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,0,1,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Sometimes,Often,Alumni,Female,23,Rent,Google Maps,Yes,2,0,1,Yes,16,US Citizen,Yes
Walk,15,"Every day, including weekends",Sometimes,Rarely,Always,Sometimes,Never,1,Convenience,100,0,Sometimes,Never,Never,Never,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Rarely,Rarely,Sometimes,Student,Female,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Light rail,20,3-4 days,Always,Sometimes,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Often,Sometimes,Often,Student,Male,24,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Bus,35,Every weekday (M-F),Always,Rarely,Rarely,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Often,Never,Always,Student,Female,29,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,Every weekday (M-F),Always,Sometimes,Often,Rarely,Never,1,Convenience,0,0,Never,Rarely,Rarely,Rarely,Sometimes,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Often,Always,Often,Student,Female,27,Rent,Google Maps,Yes,4,1,1,No,,Permanent Resident (Green Card Holder),
Bus,30,Every weekday (M-F),Always,Rarely,Always,Always,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Often,Student,Female,25,Rent,"Transit, One Bus Away",Yes,2,0,1,Yes,18,US Citizen,Have not decided
Walk,10,Every weekday (M-F),Sometimes,Sometimes,Often,Never,Never,1,Convenience,0,0,Never,Never,Never,Never,Sometimes,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Female,19,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,30,Every weekday (M-F),Sometimes,Sometimes,Rarely,Rarely,Never,0,,,,,,,,,3,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Student,Female,26,"Neither, I live with others who pay",Google Maps,Prefer not to say,,,,No,,Other non-US citizen status,
Walk,12,"Every day, including weekends",Often,Often,Sometimes,Rarely,Rarely,0,,,,,,,,,1,Sometimes,Never,Rarely,Never,Never,Rarely,Rarely,,,Strongly agree,1,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Never,Never,Always,Student,Female,24,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Rarely,Often,Rarely,Rarely,1,Convenience,0,0,Never,Never,Never,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Rarely,Rarely,Rarely,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,20,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Rarely,Rarely,1,Convenience,1,20,Rarely,Never,Never,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Bus,30,3-4 days,Always,Sometimes,Often,Rarely,Rarely,1,I don't drive,2,30,Rarely,Never,Never,Never,Always,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Rarely,Often,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,16,3-4 days,Sometimes,Sometimes,Often,Never,Never,1,Convenience,0,0,Never,Never,Rarely,Never,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Often,Student,Male,25,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,1-2 days,Often,Sometimes,Always,Rarely,Never,1,Convenience,2,90,Never,Never,Never,Never,Always,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Rarely,Rarely,Often,Student,Female,25,Rent,Google Maps,No,,,,Yes,24,Other non-US citizen status,
Bus,50,3-4 days,Often,Often,Often,Often,Often,0,,,,,,,,,5,Often,Rarely,Often,Sometimes,Rarely,Often,Often,Somewhat disagree,Neither agree nor disagree,Somewhat agree,2,0,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Always,Sometimes,Always,Student,Female,31,Rent,Google Maps,Yes,3,1,2,Yes,24,Other non-US citizen status,
Walk,20,Every weekday (M-F),Often,Always,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Never,Never,Always,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,3-4 days,Always,Sometimes,Often,Rarely,Rarely,1,Convenience,0,0,Often,Never,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Sometimes,Never,Always,Student,Female,31,Own,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Bus,25,Every weekday (M-F),Always,Sometimes,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Student,Male,24,Rent,Google Maps,Prefer not to say,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Sometimes,Rarely,Never,Never,2,I don't drive,,,Often,Never,Sometimes,Rarely,Rarely,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Rarely,Always,Student,Male,,Rent,Google Maps,No,,,,Yes,,Other non-US citizen status,
Bus,20,3-4 days,Always,Sometimes,Sometimes,Rarely,Never,1,Convenience,5,35,Never,Never,Sometimes,Never,Always,1,Sometimes,Never,Always,Always,Rarely,Sometimes,Sometimes,Strongly agree,Strongly agree,Strongly agree,0,0,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Often,Sometimes,Always,Student,Male,24,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Bus,20,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Sometimes,Rarely,Often,Student,Male,25,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Light rail,20,Every weekday (M-F),Always,Often,Often,Rarely,Never,1,Convenience,2,30,Sometimes,Never,Rarely,Rarely,Always,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Rarely,Always,Student,Female,35,Rent,Google Maps,Yes,2,0,0,Yes,18,Other non-US citizen status,
Bus,25,1-2 days,Often,Rarely,Always,Never,Sometimes,0,,,,,,,,,7,Always,Never,Sometimes,Rarely,Rarely,Rarely,Often,Neither agree nor disagree,Strongly disagree,Strongly agree,0,0,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Always,Always,Always,Student,Male,,Rent,Google Maps,Yes,2,0,1,Yes,18,Permanent Resident (Green Card Holder),
Walk,20,Every weekday (M-F),Never,Rarely,Often,Never,Never,1,I don't drive,2,15,Never,Never,Rarely,Rarely,Rarely,0,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Never,Rarely,Never,Student,Male,22,Rent,Apple Maps,No,,,,No,,Other non-US citizen status,
Walk,20,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Never,Never,1,Convenience,1,10,Sometimes,Never,Sometimes,Rarely,Rarely,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Often,Student,Female,22,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Bus,20,Every weekday (M-F),Often,Sometimes,Sometimes,Rarely,Never,3,Convenience,0,50,Rarely,Never,Rarely,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,,Somewhat agree,Sometimes,Rarely,Sometimes,Student,Female,18,Rent,Google Maps,Yes,4,0,0,No,,Other non-US citizen status,
Bus,25,Every weekday (M-F),Always,Sometimes,Sometimes,Rarely,Sometimes,2,Convenience,4,70,Never,Never,Rarely,Never,Sometimes,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Female,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,10,3-4 days,Always,Sometimes,Often,Rarely,Never,1,Convenience,5,100,Never,Never,Rarely,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Always,Sometimes,Always,Student,Male,22,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Sometimes,Never,3,Convenience,5,100,Rarely,Sometimes,Rarely,Sometimes,Sometimes,1,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Often,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,0,1,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Sometimes,Rarely,Student,Male,20,Rent,Google Maps,Yes,2,0,0,Yes,20,Other non-US citizen status,
Drive,40,Every weekday (M-F),Rarely,Rarely,Often,Never,Never,0,,,,,,,,,5,Often,Never,Often,Sometimes,Sometimes,Often,Never,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,1,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Student,Male,24,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,15,Every weekday (M-F),Always,Sometimes,,Rarely,Never,1,Convenience,0,0,Rarely,Never,Never,Rarely,Sometimes,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Sometimes,Student,Female,22,Rent,Google Maps,Yes,6,0,0,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Rarely,Often,Often,Never,2,Convenience,5,105,Never,Never,Rarely,Never,Sometimes,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Rarely,Never,Often,Student,Female,21,Rent,Google Maps,No,,,,Yes,16,Permanent Resident (Green Card Holder),
Walk,12,Every weekday (M-F),Sometimes,Sometimes,Always,Rarely,Sometimes,1,Convenience,2,70,Sometimes,Rarely,Sometimes,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Often,Student,Female,26,Rent,Google Maps,No,,,,Yes,25,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Sometimes,Sometimes,Never,Never,1,Convenience,1,11,Rarely,Rarely,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Always,Often,Often,Student,Female,27,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,45,Every weekday (M-F),Often,Sometimes,Rarely,Rarely,Often,1,Do not want to drive when intoxicated,0,0,Sometimes,Never,Rarely,Rarely,Often,2,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Somewhat agree,Somewhat agree,Strongly agree,0,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Sometimes,Rarely,Often,student and staff,Female,29,Rent,Google Maps,Yes,2,0,1,Yes,20,Permanent Resident (Green Card Holder),
Walk,20,Every weekday (M-F),Rarely,Sometimes,Often,Often,Never,0,,,,,,,,,2,Often,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Rarely,Always,Student,Male,27,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,20,3-4 days,Often,Sometimes,Always,Sometimes,Often,3,Convenience,5,50,Often,Never,Sometimes,Sometimes,Always,1,Often,Rarely,Always,Always,Sometimes,Sometimes,Often,Strongly agree,Strongly agree,Strongly agree,1,2,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Student,Male,23,Rent,Google Maps,Yes,4,0,0,Yes,19,Other non-US citizen status,
Walk,,3-4 days,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,5,Convenience,0,0,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,1,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Rarely,Rarely,Rarely,Student,Male,25,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,Every weekday (M-F),Always,Sometimes,Sometimes,Rarely,Rarely,1,I don't drive,4,70,Often,Never,Rarely,Rarely,Always,1,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Somewhat disagree,Strongly agree,Strongly disagree,1,0,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Always,Student,Female,24,Rent,Google Maps,No,,,,Yes,24,Other non-US citizen status,
Bus,20,Every weekday (M-F),Sometimes,Often,Always,Rarely,Never,1,I don't drive,2,60,Always,Never,Never,Never,Always,0,,,,,,,,,,,,,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Rarely,Student,Female,29,Rent,Google Maps,No,,,,No,,,No
Bus,45,1-2 days,Always,Always,Sometimes,Rarely,Rarely,0,,,,,,,,,1,Sometimes,Never,Often,Often,Rarely,Rarely,Sometimes,Neither agree nor disagree,Strongly agree,Somewhat agree,0,0,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Often,Sometimes,Often,Student,Female,26,Own,Google Maps,Yes,2,0,1,Yes,18,Other non-US citizen status,
Walk,,"Every day, including weekends",Sometimes,Sometimes,Rarely,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Never,Never,Often,Student,Female,18,"Neither, I live with others who pay",Apple Maps,No,,,,No,,Other non-US citizen status,
Bus,10,Every weekday (M-F),Rarely,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Sometimes,Student,Male,26,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Often,Student,Male,25,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Bus,30,3-4 days,Rarely,Sometimes,Often,Rarely,Never,2,Convenience,4,20,Rarely,Never,Sometimes,Rarely,Rarely,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Sometimes,Often,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,3-4 days,Often,Sometimes,Sometimes,Rarely,Never,0,,,,,,,,,2,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Rarely,Somewhat agree,Somewhat disagree,Somewhat agree,0,1,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Never,Sometimes,Student,Male,23,Rent,Google Maps,Yes,2,0,1,Yes,16,US Citizen,Yes
Drive,15,Every weekday (M-F),Rarely,Rarely,Rarely,Sometimes,Never,1,Convenience,0,0,Sometimes,Sometimes,Rarely,Rarely,Often,4,Never,Never,Rarely,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,0,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Often,Often,Student,Female,27,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Walk,15,Every weekday (M-F),Rarely,Rarely,Rarely,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Never,Never,Sometimes,Student,Male,19,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,,3-4 days,Often,Often,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Rarely,Rarely,Often,Student,Male,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bike,15,Every weekday (M-F),Rarely,Sometimes,Rarely,Never,Never,0,,,,,,,,,2,Often,Sometimes,Often,Never,Never,Rarely,Rarely,Somewhat disagree,Strongly disagree,Strongly agree,1,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Sometimes,Always,Student,Male,25,Rent,Google Maps,Yes,3,0,3,Yes,16,US Citizen,Yes
Bus,20,"Every day, including weekends",Sometimes,Sometimes,Always,Rarely,Rarely,3,Weather-related,3,40,Often,Never,Rarely,Rarely,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Rarely,Rarely,Often,Student,Female,24,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Drive,20,3-4 days,Always,Rarely,Often,Never,Sometimes,2,Convenience,5,50,Sometimes,Never,Rarely,Rarely,Sometimes,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Rarely,Sometimes,Student,Male,29,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Walk,30,3-4 days,Sometimes,Rarely,Sometimes,Rarely,Rarely,1,Convenience,1,30,Sometimes,Never,Rarely,Rarely,Often,2,Sometimes,Sometimes,Always,Rarely,Rarely,Sometimes,Sometimes,Somewhat agree,Neither agree nor disagree,Somewhat agree,0,0,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Student,Male,29,Rent,Google Maps,Prefer not to say,,,,Yes,27,Other non-US citizen status,
Bus,20,3-4 days,Sometimes,Sometimes,Always,Often,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,24,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Walk,15,3-4 days,Sometimes,Rarely,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Never,Never,Often,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,5,3-4 days,Often,Rarely,Sometimes,Rarely,Never,3,Convenience,3,20,Never,Rarely,Rarely,Rarely,Rarely,2,Sometimes,Rarely,Often,Often,Rarely,Sometimes,Often,Somewhat agree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Sometimes,Faculty/Staff,Female,34,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
